college_code,college_name,short_name,city,district,region,university,autonomy_status,established_year,branch_code,branch_name,degree_type,duration_years,shift,accreditation,year,round,category,cutoff_rank,cutoff_percentile,total_intake,Seats,fees,hostel_fees,bus_fees,placement_rate,average_package_lpa,highest_package_lpa,internship_rate,foreign_offers,top_recruiters,placement_cell_contact,hostel_available,hostel_type,labs_count,wifi_campus,transport_facility,medical_facility,hostel_capacity,image_url,logo_url,contact_email,contact_phone,website_url
1002,"Government College of Engineering, Amravati",GCE,Amravati,Pune,Vidarbha,Sant Gadge Baba Amravati University,Autonoumous,1964,CS21,Civil Engineering,B.Tech,4,First,NAAC B+,2025,Round I,GOPEN,1282,92.74,9,3,117054,32755,8734,59.2,6.9,19,52,1,"TCS, Infosys, Wipro, Cognizant, Accenture",placement@coep.edu,Yes,Boys&Girls,23,Yes,Yes,Yes,2432,"https://source.unsplash.com/800x400/?college,Pune",https://logo.clearbit.com/collegeofengineeringpune.com,admissions@coep.edu,-9890779855,https://gcoea.ac.in/
1002,"Government College of Engineering, Amravati",GCE,Amravati,Pune,Vidarbha,Sant Gadge Baba Amravati University,Autonoumous,1964,CS21,Civil Engineering,B.Tech,4,First,NAAC A,2025,Round I,GST,28609,76.79,9,30,99396,32755,8734,69.9,6,24,55.3,0,"TCS, Infosys, Wipro, Cognizant, Accenture",placement@coep.edu,Yes,Boys&Girls,16,Yes,Yes,Yes,1756,"https://source.unsplash.com/800x400/?college,Pune",https://logo.clearbit.com/collegeofengineeringpune.com,admissions@coep.edu,-9890779855,https://gcoea.ac.in/
1002,"Government College of Engineering, Amravati",GCE,Amravati,Pune,Vidarbha,Sant Gadge Baba Amravati University,Autonoumous,1964,CS21,Civil Engineering,B.Tech,4,First,NAAC B+,2025,Round I,GOBC,1927,91.79,60,30,100607,32755,8734,69.5,7.3,30,60.8,1,"TCS, Infosys, Wipro, Cognizant, Accenture",placement@coep.edu,Yes,Boys&Girls,26,Yes,Yes,Yes,1681,"https://source.unsplash.com/800x400/?college,Pune",https://logo.clearbit.com/collegeofengineeringpune.com,admissions@coep.edu,-9890779855,https://gcoea.ac.in/
1002,"Government College of Engineering, Amravati",GCE,Amravati,Pune,Vidarbha,Sant Gadge Baba Amravati University,Autonoumous,1964,CS22,Civil Engineering,B.Tech,4,First,NAAC A,2025,Round I,LOPEN,1147,93,60,30,124515,32755,8734,62.4,5.7,21,45.6,1,"TCS, Infosys, Wipro, Cognizant, Accenture",placement@coep.edu,Yes,Boys&Girls,17,Yes,Yes,Yes,1655,"https://source.unsplash.com/800x400/?college,Pune",https://logo.clearbit.com/collegeofengineeringpune.com,admissions@coep.edu,-9890779855,https://gcoea.ac.in/
1002,"Government College of Engineering, Amravati",GCE,Amravati,Pune,Vidarbha,Sant Gadge Baba Amravati University,Autonoumous,1964,CS22,Civil Engineering,B.Tech,4,First,NAAC B+,2025,Round I,LSC,2355,91.26,60,30,101523,32755,8734,67.5,6,27,49,0,"TCS, Infosys, Wipro, Cognizant, Accenture",placement@coep.edu,Yes,Boys&Girls,28,Yes,Yes,Yes,1528,"https://source.unsplash.com/800x400/?college,Pune",https://logo.clearbit.com/collegeofengineeringpune.com,admissions@coep.edu,-9890779855,https://gcoea.ac.in/
1002,"Government College of Engineering, Amravati",GCE,Amravati,Pune,Vidarbha,Sant Gadge Baba Amravati University,Autonoumous,1964,CS22,Civil Engineering,B.Tech,4,First,NAAC B+,2025,Round I,LSEBC,5376,88.53,60,30,107957,32755,8734,58.9,8.6,25,79.5,1,"TCS, Infosys, Wipro, Cognizant, Accenture",placement@coep.edu,Yes,Boys&Girls,18,Yes,Yes,Yes,2079,"https://source.unsplash.com/800x400/?college,Pune",https://logo.clearbit.com/collegeofengineeringpune.com,admissions@coep.edu,-9890779855,https://gcoea.ac.in/
1002,"Government College of Engineering, Amravati",GCE,Amravati,Pune,Vidarbha,Sant Gadge Baba Amravati University,Autonoumous,1964,CS23,Civil Engineering,B.Tech,4,First,NAAC B+,2025,Round I,EWS,4977,88.84,60,30,107793,32755,8734,69.8,6.9,26,59.9,2,"TCS, Infosys, Wipro, Cognizant, Accenture",placement@coep.edu,Yes,Boys&Girls,22,Yes,Yes,Yes,392,"https://source.unsplash.com/800x400/?college,Pune",https://logo.clearbit.com/collegeofengineeringpune.com,admissions@coep.edu,-9890779855,https://gcoea.ac.in/
1002,"Government College of Engineering, Amravati",GCE,Amravati,Pune,Vidarbha,Sant Gadge Baba Amravati University,Autonoumous,1964,CS23,Computer Science and Engineering,B.Tech,4,First,NAAC A,2025,Round I,GOPEN,647,94,60,30,118727,32755,8734,58.8,6.7,30,69.1,2,"TCS, Infosys, Wipro, Cognizant, Accenture",placement@coep.edu,Yes,Boys&Girls,6,Yes,Yes,Yes,669,"https://source.unsplash.com/800x400/?college,Pune",https://logo.clearbit.com/collegeofengineeringpune.com,admissions@coep.edu,-9890779855,https://gcoea.ac.in/
1002,"Government College of Engineering, Amravati",GCE,Amravati,Pune,Vidarbha,Sant Gadge Baba Amravati University,Autonoumous,1964,CS23,Computer Science and Engineering,B.Tech,4,First,NAAC A,2025,Round I,GSC,2695,90.86,60,30,110330,32755,8734,59.6,6.9,24,92.5,0,"TCS, Infosys, Wipro, Cognizant, Accenture",placement@coep.edu,Yes,Boys&Girls,22,Yes,Yes,Yes,2279,"https://source.unsplash.com/800x400/?college,Pune",https://logo.clearbit.com/collegeofengineeringpune.com,admissions@coep.edu,-9890779855,https://gcoea.ac.in/
1002,"Government College of Engineering, Amravati",GCE,Amravati,Pune,Vidarbha,Sant Gadge Baba Amravati University,Autonoumous,1964,CS24,Computer Science and Engineering,B.Tech,4,First,NAAC A,2025,Round I,GST,21009,80.06,60,30,119138,32755,8734,61,6.7,20,92.4,2,"TCS, Infosys, Wipro, Cognizant, Accenture",placement@coep.edu,Yes,Boys&Girls,25,Yes,Yes,Yes,279,"https://source.unsplash.com/800x400/?college,Pune",https://logo.clearbit.com/collegeofengineeringpune.com,admissions@coep.edu,-9890779855,https://gcoea.ac.in/
1002,"Government College of Engineering, Amravati",GCE,Amravati,Pune,Vidarbha,Sant Gadge Baba Amravati University,Autonoumous,1964,CS24,Computer Science and Engineering,B.Tech,4,First,NAAC B+,2025,Round I,GOBC,698,93.89,60,30,109260,32755,8734,61.6,6.2,25,44.3,0,"TCS, Infosys, Wipro, Cognizant, Accenture",placement@coep.edu,Yes,Boys&Girls,8,Yes,Yes,Yes,2381,"https://source.unsplash.com/800x400/?college,Pune",https://logo.clearbit.com/collegeofengineeringpune.com,admissions@coep.edu,-9890779855,https://gcoea.ac.in/
1002,"Government College of Engineering, Amravati",GCE,Amravati,Pune,Vidarbha,Sant Gadge Baba Amravati University,Autonoumous,1964,CS24,Computer Science and Engineering,B.Tech,4,First,NAAC A,2025,Round I,GSEBC,1761,92,60,30,107869,32755,8734,66.2,7.5,30,91.1,1,"TCS, Infosys, Wipro, Cognizant, Accenture",placement@coep.edu,Yes,Boys&Girls,12,Yes,Yes,Yes,1834,"https://source.unsplash.com/800x400/?college,Pune",https://logo.clearbit.com/collegeofengineeringpune.com,admissions@coep.edu,-9890779855,https://gcoea.ac.in/
1002,"Government College of Engineering, Amravati",GCE,Amravati,Pune,Vidarbha,Sant Gadge Baba Amravati University,Autonoumous,1964,IT21,Computer Science and Engineering,B.Tech,4,First,NAAC B+,2025,Round I,LOPEN,564,94.25,60,30,103149,32755,8734,61.8,5.6,19,70.5,1,"TCS, Infosys, Wipro, Cognizant, Accenture",placement@coep.edu,Yes,Boys&Girls,8,Yes,Yes,Yes,441,"https://source.unsplash.com/800x400/?college,Pune",https://logo.clearbit.com/collegeofengineeringpune.com,admissions@coep.edu,-9890779855,https://gcoea.ac.in/
1002,"Government College of Engineering, Amravati",GCE,Amravati,Pune,Vidarbha,Sant Gadge Baba Amravati University,Autonoumous,1964,IT21,Computer Science and Engineering,B.Tech,4,First,NAAC B+,2025,Round I,EWS,373,94.9,60,30,116031,32755,8734,61.6,7.7,21,47.3,1,"TCS, Infosys, Wipro, Cognizant, Accenture",placement@coep.edu,Yes,Boys&Girls,24,Yes,Yes,Yes,2137,"https://source.unsplash.com/800x400/?college,Pune",https://logo.clearbit.com/collegeofengineeringpune.com,admissions@coep.edu,-9890779855,https://gcoea.ac.in/
1002,"Government College of Engineering, Amravati",GCE,Amravati,Pune,Vidarbha,Sant Gadge Baba Amravati University,Autonoumous,1964,IT21,Information Technology,B.Tech,4,First,NAAC B+,2025,Round I,GOPEN,1041,93.16,60,30,113063,32755,8734,64.4,8.4,19,75.9,1,"TCS, Infosys, Wipro, Cognizant, Accenture",placement@coep.edu,Yes,Boys&Girls,18,Yes,Yes,Yes,647,"https://source.unsplash.com/800x400/?college,Pune",https://logo.clearbit.com/collegeofengineeringpune.com,admissions@coep.edu,-9890779855,https://gcoea.ac.in/
1002,"Government College of Engineering, Amravati",GCE,Amravati,Pune,Vidarbha,Sant Gadge Baba Amravati University,Autonoumous,1964,IT22,Information Technology,B.Tech,4,First,NAAC A,2025,Round I,GSC,4279,89.37,60,30,105196,32755,8734,62.3,6.3,30,64.4,0,"TCS, Infosys, Wipro, Cognizant, Accenture",placement@coep.edu,Yes,Boys&Girls,9,Yes,Yes,Yes,2414,"https://source.unsplash.com/800x400/?college,Pune",https://logo.clearbit.com/collegeofengineeringpune.com,admissions@coep.edu,-9890779855,https://gcoea.ac.in/
1002,"Government College of Engineering, Amravati",GCE,Amravati,Pune,Vidarbha,Sant Gadge Baba Amravati University,Autonoumous,1964,IT22,Information Technology,B.Tech,4,First,NAAC A,2025,Round I,GOBC,1188,92.91,60,30,104633,32755,8734,64.3,7.1,29,89.6,0,"TCS, Infosys, Wipro, Cognizant, Accenture",placement@coep.edu,Yes,Boys&Girls,18,Yes,Yes,Yes,2063,"https://source.unsplash.com/800x400/?college,Pune",https://logo.clearbit.com/collegeofengineeringpune.com,admissions@coep.edu,-9890779855,https://gcoea.ac.in/
1002,"Government College of Engineering, Amravati",GCE,Amravati,Pune,Vidarbha,Sant Gadge Baba Amravati University,Autonoumous,1964,IT22,Information Technology,B.Tech,4,First,NAAC B+,2025,Round I,LOPEN,784,93.66,60,30,117395,32755,8734,68.4,7.1,21,52,0,"TCS, Infosys, Wipro, Cognizant, Accenture",placement@coep.edu,No,Boys&Girls,23,Yes,Yes,Yes,0,"https://source.unsplash.com/800x400/?college,Pune",https://logo.clearbit.com/collegeofengineeringpune.com,admissions@coep.edu,-9890779855,https://gcoea.ac.in/
1002,"Government College of Engineering, Amravati",GCE,Amravati,Pune,Vidarbha,Sant Gadge Baba Amravati University,Autonoumous,1964,IT23,Information Technology,B.Tech,4,First,NAAC B+,2025,Round I,LST,27376,77.31,60,30,127125,32755,8734,66.3,5.6,25,86.8,0,"TCS, Infosys, Wipro, Cognizant, Accenture",placement@coep.edu,No,Boys&Girls,27,Yes,Yes,Yes,0,"https://source.unsplash.com/800x400/?college,Pune",https://logo.clearbit.com/collegeofengineeringpune.com,admissions@coep.edu,-9890779855,https://gcoea.ac.in/
1002,"Government College of Engineering, Amravati",GCE,Amravati,Pune,Vidarbha,Sant Gadge Baba Amravati University,Autonoumous,1964,IT23,Information Technology,B.Tech,4,First,NAAC B+,2025,Round I,LSEBC,3533,90,60,30,118665,32755,8734,58.4,5.7,26,71.1,0,"TCS, Infosys, Wipro, Cognizant, Accenture",placement@coep.edu,Yes,Boys&Girls,12,Yes,Yes,Yes,1486,"https://source.unsplash.com/800x400/?college,Pune",https://logo.clearbit.com/collegeofengineeringpune.com,admissions@coep.edu,-9890779855,https://gcoea.ac.in/
